# Phase 6D all-campaign descriptor matrix
# exact executable SHA-256: 3b561269fb7ce4c281959f8f0db691cebf7cd36a04ad3594461b94290c5d3816
# exact PDB SHA-256: 702df42ef4d7e8f6ba39aee96b5c83780c3266a7e9a174f81db13c6934050ae6
# generated/reviewed: 2026-07-16 Asia/Shanghai
descriptor key	content group	page	control	rectangle	ordinal / event	transition kind	formatter / literal	exact relative	static windows	public evidence	status
addon-roman-01	Add-on Roman	12	47	—	0 / 0x1F49	0x0B	ao_roman%01i	Map\Campaign\ao_roman1.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-roman-02	Add-on Roman	12	48	—	1 / 0x1F49	0x0B	ao_roman%01i	Map\Campaign\ao_roman2.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-roman-03	Add-on Roman	12	49	—	2 / 0x1F49	0x0B	ao_roman%01i	Map\Campaign\ao_roman3.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-roman-04	Add-on Roman	12	50	—	3 / 0x1F49	0x0B	ao_roman%01i	Map\Campaign\ao_roman4.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-viking-01	Add-on Viking	14	112	—	0 / 0x1F4D	0x0C	ao_viking%01i	Map\Campaign\ao_viking1.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-viking-02	Add-on Viking	14	113	—	1 / 0x1F4D	0x0C	ao_viking%01i	Map\Campaign\ao_viking2.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-viking-03	Add-on Viking	14	114	—	2 / 0x1F4D	0x0C	ao_viking%01i	Map\Campaign\ao_viking3.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-viking-04	Add-on Viking	14	115	—	3 / 0x1F4D	0x0C	ao_viking%01i	Map\Campaign\ao_viking4.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-mayan-01	Add-on Mayan	13	34	480,177,175,30	0 / 0x1F4B	0x0D	ao_maya%01i	Map\Campaign\ao_maya1.map	AO	L6B-I	CLOSED
addon-mayan-02	Add-on Mayan	13	35	—	1 / 0x1F4B	0x0D	ao_maya%01i	Map\Campaign\ao_maya2.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-mayan-03	Add-on Mayan	13	36	—	2 / 0x1F4B	0x0D	ao_maya%01i	Map\Campaign\ao_maya3.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-mayan-04	Add-on Mayan	13	37	—	3 / 0x1F4B	0x0D	ao_maya%01i	Map\Campaign\ao_maya4.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-settle-01	Add-on Settle	15	77	—	0 / 0x1F47	0x0E	ao_settle%01i	Map\Campaign\ao_settle1.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-settle-02	Add-on Settle	15	78	—	1 / 0x1F47	0x0E	ao_settle%01i	Map\Campaign\ao_settle2.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-settle-03	Add-on Settle	15	79	—	2 / 0x1F47	0x0E	ao_settle%01i	Map\Campaign\ao_settle3.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-settle-04	Add-on Settle	15	80	—	3 / 0x1F47	0x0E	ao_settle%01i	Map\Campaign\ao_settle4.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-trojan-01	Add-on Trojan	11	91	320,200,175,30	0 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan01.map	AO	L6B-I	CLOSED
addon-trojan-02	Add-on Trojan	11	92	—	1 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan02.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-trojan-03	Add-on Trojan	11	93	—	2 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan03.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-trojan-04	Add-on Trojan	11	94	—	3 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan04.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-trojan-05	Add-on Trojan	11	95	—	4 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan05.map	AO	L6B-I (control absent)	EVIDENCE GAP
addon-trojan-06	Add-on Trojan	11	96	—	5 / 0x1F4F	0x0F	ao_trojan%02i	Map\Campaign\ao_trojan06.map	AO	L6B-I (control absent)	EVIDENCE GAP
